,reviews,Rating,Ranking
82,"i called gordon construction enterprise company three years ago to help get ready to selling my home. alex the owner came right away. repaired the door walls and painted my home. the work looked great and was perfect for my closet. they were prompt in their response and painting. they charged an additional $125. i
#
great customer service is essential when it comes to buying anything online!  we purchased a few pieces of jewelry and needed to repair some of the smaller cracks and now i have over $500 in total repairs.  they are always on time, clean, professional and affordable.  we highly recommend them!
fast and cheaper than apple, i would definitely recommend! 
#
great customer service is essential when it comes to buying anything online!  we purchased a few pieces of jewelry online and the ladies at gold chain just couldn't wait to get them to our home.  they didn't charge us a thing for the process!  they were very professional and very honest.  we will definitely be calling them for all our online jewelry needs
#
great customer service is priceless.   i would recommend them to anyone and in fact, i already have.
the best place in the east valley to live, can't beat the location, safe, clean, staff and especially all the maintenance people are exceptional. we had mario today who went above and beyond the repairs requested, did extras to make the situation
#
great customer service is a godsend!  we called air wizards to install a portable a/c unit and they came right out to do the repair and install the unit quickly.  they are very clean, and the owner even gave us some pointers on how to run the unit best.  they will be our go to guys for all future repair needs!


#
great customer service is essential when it comes to buying anything online.  fast and friendly staff answered all of our questions and were able to make the repairs within about an hour.  staff also made sure that my new refrigerator worked as expected without any needed parts added.  highly recommend this company!
we purchased a new ac/heating system from craig at
#
great customer service and repairs!  we are now enjoying the ease of use with their new features.  thanks again!
i have been using troy's maintenance department about four years for maintenance.  i have found some good people in the past, and trust me, i'm looking for them now. maintenance is a very pleasant experience.  the staff is
#
great customer service is essential when it comes to buying anything online!  we purchased a few pieces of jewelry and needed to have them repaired.  they did just that and made repairs quickly so we no longer have any need for jewelry repair!  they are also very honest and reasonable!  i would highly recommend them!
best plumbers in the valley! 
#
great customer service is a must have!  very professional and always responds promptly.  we highly recommend this company!
great selection of condiments for a hotdog!!! not sure if this is standard for a sonoran hot dog spot... nacho cheese, chorizo, cheddar ruffles remnants, cheddar ruffles remnants, cheddar r
#
great customer service is a+


great selection of condiments amazing variety


overall a+


staff is amazing thank you  for the wonderful experience


business is very clean and well maintained


just a few more points and i'm a customer",2,positive
83,"mike and jay were great to work with. i had a tight deadline
#
great customer service is what sets this company apart.  after calling and waiting for weeks for a reschedule, i finally got a reschedule appointment w/o any surprises.  jesus called the same day, rescheduled the appointment and came over right at 8:30 pm.  he did not try to upsell me on any unnecessary
#
great customer service.  we are so happy with the repair.  thank you!
i had my 2018 ford f-150 worked on by buddy.buddy installed a magnaflow exhaust system on it and it sounds so nice going down the street!my exhaust system gets noisy and my truck gets cold.my f-150 wouldn't shut off until
#
great customer service.  they tested the unit, gave me a more accurate reading and corrected the problem when it was obvious it wasn't.  they also did a few other handyman work, which i didn't even appreciate.  thanks guys!  you're the best!
steve/diamond roofing did an outstanding job on our residence and",2,positive
84,"great customer service is awesome.  we bought some kitchen accessories and needed a new sink and dishwasher, so i asked for jbs roofing.  when i called, i was prepared to pay the normal rate,  and get a quote.  instead,  they gave me a better deal.  now, i'm less likely to get a new quote",2,positive
85,great customer service and diagnosis of problem quickly and efficiently.  thanks for helping keep our home cool and comfortable in the summer heat!,2,positive
86,"i have used scott for many years now.  as a handyman, i mostly work with ladies, but i occasionally work with men.  he is easy to get a hold of and always on time.  he has",2,positive
87,great customer service is awesome. they replaced a slow leaking plumbing issue with a great new opening. they did this all in less then a day and came close to home but made the right call. my wife and i couldn't be happier with the work and the timing. thanks again guys. will definitely call on em for future repairs.,2,positive
88,"steve/d
#
great customer service is a godsend!  we called air wizards to replace our 64 year old incandescent light bulb.  i had read that replacing an incandescent light bulb can cost upwards of $500, so i was really hoping that we would have to replace both our bulbs.  our first call was for an estimate.  after talking with bud
#
great customer service is awesome!  we called air wizards to blow our whistlestick and they came right out to fix it right away.  they also did a few other repair jobs we asked for.  super happy with the quality of work and the speed with which they did it.  we won't hesitate to call them again if we need any work done
#
great customer service is a must have!  we purchased a new water heater from lowe's and a new water filter from amazon.   they tested the water in our heater and both came out clean.  they tested the filter on our new water heater and both came out clean.  they tested the water in our new water heater and both came out
#
great customer service is a plus!
great selection of condiments for a hotdog!!! not sure if this is standard for a sonoran hot dog spot... nacho cheese, chorizo, cheddar ruffles remnants, cheddar ruffles remnants, any cheddar ruffles remnants will do.
steve/diamond"" is",2,positive
89,"great customer service is second to none.  we purchased a new pump and was hoping to have it fixed next day, but they set an appointment for the pump to be repaired.  keith was prepared with a special kit to make sure the repair would be done correctly.  he also helped us understand the best way to get the most out of our property before",2,positive
90,great customer service is a+,2,positive
91,"i called arthur at 7am when both upstairs and downstairs air conditioners stopped blowing cold air.  he had both units repaired by 9am.  i was not asking for a lot of work, but rather for a more than reasonable monthly charge.  i called him in the morning, and he was very responsive. ",2,positive
92,great customer service!  we had a small leak in our master closet and a big leak in our bathroom.  they came out right away and fixed it in less than an hour.  they also installed a new garbage disposal and changed the color on our clothes dryer.  all for a reasonable $100 more than what we originally quoted.  they have been,2,positive
93,great customer service.  we ordered the plunger kit and it was ready on time.  the plunger works perfectly!  thanks!,2,positive
94,i had greg with me on a recent trip to vegas. he was very helpful in tracking down the source of my leak and what was wrong with it. he had the flare repaired and it was ready on time,2,positive
95,great customer service is a must have!  we purchased a new water heater from lowe's and a new air conditioner from is heat.   they did a great job on the repair and it was done quickly.  they did not try to quote unnecessary work and instead did a head to head with my hvac.  this saved us considerable money,2,positive
96,great customer service and the repair was done right.  thank you!!,2,positive
97,"i had my 2018 ford f-150 worked on by buddy.buddy installed a magnaflow exhaust system and upgraded my muffler.the exhaust note was faint and not enough to bother me, but five stars because i want to impress my friends and family with how beautiful my house",2,positive
98,great customer service is awesome!  we bought a few pieces of jewelry for our home and these guys helped us select the pieces that we needed and repaired them quickly (same day!).  they cleaned up after the work and were very professional.  we will definitely be calling them for all our jewelry needs!  great job guys!,2,positive
99,"great work by chris
#
great customer service is a must have!  we called the same day and jeremy was able to come and repair an issue with our dishwasher before he left for home day.  he replaced the water line to the drain and repaired the fan motor on our 12 year old unit.  his estimate from the photos we sent was way less than two others we
#
great customer service is a must have!  we purchased a new water heater from lowe's and this company installed it.   they arrived half an hour earlier than estimated and was done in about an hour!  they have installed other items in our house via lowe's a few years prior.   we hired them directly to repair/replace plumbing for
#
great customer service and diagnosis of problem quickly and efficiently.  fix installed door, installed a remote keypad, and installed a temp sensor.  all at no charge.  highly recommended.
i had a very positive experience with armstrong. i called when i thought i would need a new refrigerator, and they sent over their free diagnostic to see if i needed
#
great customer service is essential when it comes to buying anything online!  we purchased a few pieces of jewelry and needed to have them repaired.  they did just that and made repairs while we waited (actually the wait was a little uncomfortable, but we ran out of time in the house and didn't want to complain).  we love the look on his/her
#
great customer service is a plus!
i had them repair a hot water heater and repair the drywall box it sat on.  the repair was done perfectly and within time constraints.  would highly recommend!
my home was sold and i needed to repair 2 broken windows in time for close of escrow. i've called numerous glass company and none of them
#
great customer service is second to none.  we have purchased over 25 lbs of marijuana from here and all of the repairs have been made to our drivers seat and driver's door.  they are the only place we go for these types of repairs and we highly recommend them.  we have a couple more jobs and will be calling them for all of our household needs
#
great customer service is amazing and they don't price gouge. if you need a/c repair don't hesitate to give them a call.",2,positive
100,"i appreciate that dave mentioned there was a software update coming soon that would allow us to run our pumps a little faster.  while we were waiting for the update to complete, we noticed that our system was quite",2,positive
101,"great customer service!  we asked for a scope of work and a quote in short.  they got us a scope quickly and had a pre-made plan that worked perfectly.  they did all the work, showed up on time and worked efficiently.  we will definitely be calling them again for any work that needs done!",2,positive
102,awesome experience! my ge,2,positive
103,"great customer service is a godsend!  we called on a friday afternoon and they were done the following tuesday.  they were quick with their estimates and work, and were very professional.  they saved us a ton of money on the new refrigerator and it still works perfectly.  they gave us very reasonable workstations and even included a new breaker",2,positive
104,great customer service is amazing.  we had a leak in our master closet as well as some displaced tiles. they came out for the estimate used an ipad to show us the roof and where it needed to be repaired.  they came out on time it cleaned up everything after and we no longer have a leak.  i highly recommend them.,2,positive
105,i live,2,positive
106,great customer service is a godsend!  we called olympic to get a quote on a new unit.  kevin was able to squeeze us in before they went home for the day without having to haggle with anyone else.  super quick repair and very reasonable pricing.  we'll be using olympic for all our future repairs! ,2,positive
107,great customer service is a must have!  we had a small repair required and they fixed it quickly but didn't want to overcharge.  they have done numerous jobs around the house and i trust them completely!  i highly recommend them!,2,positive
108,great selection of condiments for a hotdog!!! not sure if this is standard for a sonoran hot dog spot,2,positive
109,great customer service is a plus!,2,positive
110,"i had them replace a hot water heater and a/c unit and repair the drywall box it sat on.  the box it sat on was old and in need of repair to the inside of the shrinkwrap.  my repairman came out and was prompt, professional and did an amazing job.  i will be",2,positive
111,great customer service is essential when it comes to any repairs.,2,positive
112,i had a leak in between the house and the main and i called yes.  they came out yes it was serious and they fixed it right away. no thanks to the warm weather i was out of here in 3 days.,2,positive
113,i called yes because of a back issue with our dishwasher and,2,positive
114,great customer service is a+,2,positive
115,great selection of condiments from the kitchen truck. we didn't try them all but did try the spicy mayo and relish. it was good enough to keep in the fridge for a few days. not bad!,2,positive
116,i had a sofa and bench that needed repaired.   frank came out and repaired both.,2,positive
117,"great customer service is key here. they test equipment on the same day it is received, and then repair it the same day if necessary. i found them to be very clean, orderly, and professional. they also did a few other helpful things for me that i never even considered. a bonus!",2,positive
118,i used scott for a small drywall repair and he,2,positive
119,"great customer service!  we had a problem with a piece of jewelry that was damaged in our home.  they sent someone out within a few days to look at it and repair it.  no questions asked, no saying that we should wait for a bigger problem.  they got it all working again in no time!  thank you!!!!  you are amazing",2,positive
120,great customer service is awesome.  we needed some roofing replacements / repairs after a fireplace installation.  they did a great job at getting me quoted and then came to me to have the work done.  they have a very friendly and professional staff.  they do excellent work and they are very clean.  they offer a warranty and pay for their work.,2,positive
121,great customer service!  we had a small leak in our master closet as well as some displaced tiles.  they came out for the estimate used an ipad to show us the roof and where it needed to be repaired.  no more leaks!  they also recommended where we could do more yard work to improve the area.  everything was in good order and,2,positive
122,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
123,we recently purchased a new water heater from lowe's and this company installed it.   they arrived half an hour earlier than estimated and was done in about an hour!  they have installed other items in our house via lowe's a few years prior. ,2,positive
124,"happy handyman"" and ""one of my top choices for a female super handyman!""",2,positive
125,"great experience with pipe dreams. cj & zach repaired a hot water slab leak that they painstakingly traced. they were respectful of my relocation and did an amazing job. i highly recommend pipe dreams and is the only plumbers i will use in the future.
#
happy handyman and i would recommend him to anyone looking for a good, honest home inspector.  he is very fair in his pricing and does good work.  i have used him for two homes and each was exceptional.  one was a repair job; the other was a house purchase.  i would recommend him both times.  i know he will",2,positive
126,"happy handyman"" and i will definitely be calling him for all my handyman needs. he responded to my quote request very fast. he showed up on time and ready to work. he was very friendly and professional. he finished on time and worked hard to repair my existing system as fast as possible. i can't say enough good things about him. i will",2,positive
127,"happy handyman"" and is very responsive. very professional and does amazing work. highly recommend.",2,positive
128,i called on the worst day of the year 122 degrees and they were the only company out of four that responded to my call after 6 pm. they came out right away but made an error on the estimate and stood by their original quote to repair my valve job.,2,positive
129,"happy handyman"" and i will definitely be calling him for all my handyman needs.",2,positive
130,i called on the worst day of the year 122 degrees and they were the only company out of four that responded to my call after 6 pm. i was completely prepared to deal with a longer call but nacho cheese and sour cream arrived just before 8 pm and was awesome,2,positive
131,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
132,my home warranty policy sent these guys out to my house to look at my old furniture (mostly my parents stuff) and to check that everything is functioning properly.  they sent out josh and he was able to do a quick repair with minimal mess.  my parents,2,positive
133,"happy handyman"" and ""super helpful"" with all my plumbing issues.  will use him every other contractor that i contact.",2,positive
134,super helpful showed up the next day to do a checkup and repair.  he gave me a very reasonable price to do the work and completed the work quickly. ,2,positive
135,i had a very difficult time getting anyone,2,positive
136,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
137,my garbage disposal stopped working . another site said it was just a faulty magnet and they would replace it quickly at a very reasonable rate. my first call to fix it was ignored by the guy who came over said it was not a good idea. when i tried to sell,2,positive
138,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
139,"my garbage disposal stopped working . another reviewer said they replaced part but i remember being more than excited about the idea of a new one. tommy told me i could replace just the pan, it was just to big for me and there was no replacement money.  i",2,positive
140,"happy handyman"" and ""great guy"".  he helped us in our home improvement projects and was very responsive.  we will definitely be calling him for all our plumbing and air repair needs!",2,positive
141,"great experience with pipe dreams. cj & zach repaired a hot water heater that was leaking due to condensation build up in the air supply. they did
#
happy handyman and i will definitely be calling him for all my handyman needs!",2,positive
142,great experience with pipe dreams. cj & zach repaired a hot water slab leak that they painstakingly traced. they were respectful of my hot water heater and did an amazing job. i appreciate their concern and cj explaining every step of the process. i highly recommend,2,positive
143,"happy handyman"" and i will definitely be calling him for all my handyman needs. he responded to my quote request very fast. he showed up on time and ready to work. he was very friendly and professional. he finished the job on time and cleaned up after he was completed. i can't say enough good things about him. i will definitely be calling",2,positive
144,"happy handyman"" and ""one of my top choices for a female super handyman!""",2,positive
145,"i'm so glad my daughter recommended stacy and her handyman. they did a beautiful job, did a great job and were very affordable. they did a complete interior paint job, as well as a few exterior paint jobs. i will be using them for all my",2,positive
146,"happy handyman"" and is very knowledgeable in the field.  he helped me repurpose my kitchen cabinet, and even built a new bench in my kitchen cabinet without doing any permanent damage to the surface.  he also repaired two broken panes of glass in my bathroom and they look brand new!  thanks mike for helping me repurpose my kitchen",2,positive
147,"happy handyman"" for our home repairs.  he did a great job, showed up on time, and fixed our door the same day.  highly recommended.",2,positive
148,i used scott for a small drywall repair and he did not disappoint.  he is very skilled and professional.  i have referred him to many of my friends and they thank him for,2,positive
149,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
150,"my new job on this site should be to alert people as to when restaurants are closed lol. last week i walked to dukem in the freezing cold to find out they were closed until further notice. today, i am finding out sher-e-punjab is",2,positive
151,"happy handyman"" and ""super helpful"" with all my plumbing needs.  his communication is top notch and he always amazes me with how much information he can process in the time at the property (and then translate that into handyman work that meets his schedule).  he is flexible in scheduling, and always on time with his work.  super handyman",2,positive
152,"happy handyman, great attention to detail.  thank you!!",2,positive
153,"quick response for a small repair to my oven door. it cost $125.00 to a half hour of work, i think this is high, but i guess it's the going rate. no other complaints.",2,positive
154,"dan came out 2hours after i initially called for them to diagnose the
#
happy handyman and i will definitely be calling him for all my handyman needs!",2,positive
155,"i called on the worst day of the year 122 degrees and they were the only company out of four that responded to my call after 6 pm. i was prepared to have to haggle about upsells and extra charges, but kept it simple and charged exactly what",2,positive
156,"happy handyman"" and his team are great. they do great work, are friendly and friendly. they never try to quote unnecessary work and they never try to overcharge you. ",2,positive
157,"i highly recommend handyman xtreme""",2,positive
158,i used scott for a small drywall repair and he did not disappoint. i sent pics via text and he immediately responded,2,positive
159,"happy handyman"" is a great company to work with. they understand that you don't have everything under control and go above and beyond. i had them install a new garbage disposal, drywall repair, and paint for me. they did it all in a few days and were very reasonable, showing up on time and working efficiently. they have a great reputation and",2,positive
160,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
161,my garbage disposal stopped working . another company told me to replace it . he told me to replace part .. i did not want to pay for it .. i called garbage disposal ... he came over right away and replaced it  with a new one . i mentioned to my co,2,positive
162,"happy handyman"" and i will definitely be calling him for all my handyman needs!",2,positive
163,"my new job on this site should be to alert people as to when restaurants are closed lol. last week i walked to dukem in the freezing cold to find out they were closed until further notice. today, i am finding out sher-e-punjab is",2,positive
164,"happy handyman"" as they say in the gold Coast!",2,positive
